NO,Sub Name,Ship To,Fab Device,Customer Device,GC Version,PO NO,Invoice NO,Ship Out Date,FAB Lot ID,Wafer ID,Gross Dies,Sampling Qty,Pass Dies,NG Die,Yield,Pack Lot ID,Wafer Mark,Grade,Carton NO,WO,Remark,lot type
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001234,19,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001234,20,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,1,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,2,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,3,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,4,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,5,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,6,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,7,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,8,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,9,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,10,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,11,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,12,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,13,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,14,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,15,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,16,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,17,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,18,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,19,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,A001235,20,5869,,,,,,,A,1,,,ENG
